වචනය,"සමාන පදමාලාව"
අ,"1. සිංහල හෝඩියේ මුල් අකුර සහ එහි මුල් ස්වරය.<br>
2. (ව්‍යාක.) විරුද්ධ ප්‍රතිෂේධ ආදි අර්ථවල යෙදෙන අව්‍යයක්; නිද. අකුසල්; අහිංසක.
3. විෂ්ණු දෙවි."
අං,"[නා.ප්‍ර.] ගව, මුව ආදි සතුන්ගේ හිසෙහි ඉහළට නෙරා පවතින උල් අවයවය; අඟ; ශෘඞ්ගය."
"අං අත්ත","[නා.] අතු වශයෙන් බෙදීගිය අඟ; අංපොකුර."
"අං ආබරණ","[නා.බහු.] අංකෙළි පුදට යෝග්‍ය කොට පත්තිනි දෙවියන්ට කැප කළ අං."
"අං ඇදිල්ල, අං ඇදීම","[නා.] විවිධ උවදුරු දුරු කිරීම සඳහා පත්තිනි දේවිය උදෙසා පැවැත්වෙන අභිචාර ක්‍රීඩාවක් හෙවත් රැඟුමක්."
"අං කූටය","1. [නා.] අත්පාවල මහ ඇඟිල්ල; මහපට ඇඟිල්ල.
<br>2. [නා.] ඇතැම් මත්ස්‍යයන් ගේ එක් හකුවකින් වැඩී තිබෙන ඇඟිල්ලක් වැනි ස්පර්ශක උපාංගය."
"අංක ගණිතය","[නා.] ඉලක්කම් උපයෝගී කරගෙන ගණන් සෑදීමේ ශාස්ත්‍රය."
"අංක, අඞ්ක","[නා.ප්‍ර.] අංකය; අඞ්කය බ."
"අංකන සංගුණකය","[නා.] වීජ ගණිතයෙහි ඝාතයක අංකයෙන් දක්වන සාධකය."
අංකනය,"1. [නා.] ඉලක්කම්වලින් සංඛ්‍යා දැක්වීම; අංක යෙදීමේ කාර්යය.
2. [නා.] අංක රාශි ආදිය සංකේත මගින් නිරූපණය කිරීම; එසේ නිරූපිත සංකේත පද්ධතිය."
"අංකය, අඞ්කය","1. [නා.] ඉලක්කම; සංඛ්‍යාව; 0 සිට 9 තෙක් ඕනෑ ම ඉලක්කමක් නිරූපණයට යොදන රූපය.<br>
2. [නා.] ලකුණ; සටහන.<br>
3. [නා.] පොත් සඟරා ආදියේ පරිච්ඡේදය/ කොටස.<br>
4. [නා.] නාට්‍යයක ජවනිකාව"
"අංකරය, ඇංකරය","1. (කථා.) [නා.] නැංගුරම.<br>
2. [නා.] දබරය; පොරය; රණ්ඩුව."
අංකිත,"[වි.] ලකුණු කරන ලද; ඉලක්කමෙන්/ අංකයෙන් දක්වන ලද."
"අංකිත කෝදුව","[නා.] අනුපිළිවෙළින් අංක දක්වන මාන උපකරණය."
"අංකීරා, අංකූරා","1. (කථා.) [නා.] කූරු වැනි උල් අං ඇති ගොනා; අනින ගොනා.<br>
2. (රූඪි.) [නා.] කෛරාටික පුරුෂයා."
අංකුට්ටා,"[නා.] අඟුළු වර්ගයේ මිරිදිය මත්ස්‍යයෙක්."
"අංකුර බද්ධය","[නා.] ශාකයක අංකුරයක් අනෙක් ශාකයකට සම්බන්ධ කිරීම."
"අංකුරය, අඞ්කුරය","1. [නා.] ශාකයක නොවැඩුණු ළපටි අවස්ථාව.<br>
2. (පාරිභා.) [නා.] ජීවියකුගේ ශරීරයෙන් ලියලා නව ජීවියකු බවට අලිංගික ව වැඩෙන නෙරුම(=bud)."
අංකුරිත,"[වි.] අංකුර හටගත්; පැළ වූ."
අංකුරෝත්පත්තිය,"[නා.] අංකුරයක උපත; ළපටි පැළ හටගැනීම."
අංකුලාව,"[නා.] අඟින් කළ කොපු විශේෂයක්; හෙප්පුව."
"අංකුශ චාරණය","[නා.] සිවුසැට කලාවලින් එකක් වන අංකුශ භාවිතය; අලි-ඇතුන් හැසිරවීමේ ශාස්ත්‍රය."
"අංකුශ, අංකුස, අඞ්කුශ, අඞ්කුස","[නා.ප්‍ර.] අංකුශය, අංකුසය, අඞ්කුශය, අඞ්කුසය බ."
"අංකුශ, අඞ්කුස","1. [නා.ප්‍ර.] අලි-ඇතුන් හසුරුවන, තියුණු උලකින් හා කොක්කකින් යුතු උපකරණය; හෙණ්ඩුව; අකුස්ස.<br>
2. [නා.ප්‍ර.] කෙක්ක; දෙහෙටිල්ල."
අංකුශාභය,"(පාරිභා.) [නා.] කෙළවර කොක්කක් මෙන් නැමුණු; අස්ථිය (=unciform bone)."
අංකූඩුව,"(කථා.) [නා.] ගෝණ, මුව ආදින්ගේ අතු වශයෙන් බෙදී ගිය අං."
අංකෙළිය,"[නා.] පත්තිනි දේවියගේ නමින් පවත්වනු ලබන ජාතික ක්‍රීඩාවක්."
"අංකොං, අංකොන්","(කථා) [නා.] වෙනස්කම; අනාදරය; අහිතවත් බව."
අංකොක්ක,"[නා.] ඇඳුම් ආදිය එල්ලීම සඳහා අං, ලී ආදියකින් අඟක හැඩයට කළ කොකු විශේෂය."
"අංග පරිත්‍යාගය","[නා.] අත්, පා, ඉස් ආදි ශරීරාංග පරිත්‍යාග කිරීම."
"අංග රක්ෂක","[නා.ප්‍ර.] පෞද්ගලික ආරක්ෂකයා; පෞද්ගලික ආරක්ෂක භටයා."
"අංග රාගය, අඞ්ග රාගය","[නා.] ඇඟ ගල්වන සුවඳ විලවුන්; ඇඟ සුවඳ ගන්වන සඳුන් කොකුම් ආදි ආලේපය."
"අංග ලක්ෂණ","[නා.ප්‍ර.] සිරුරෙහි ලකුණු; දේහ ලක්ෂණ."
"අංග විද්‍යාව","[නා.] ශරීර ලක්ෂණ පිළිබඳ වූ ශාස්ත්‍රය; දේහ ලක්ෂණ විද්‍යාව; සාමුද්‍රිකා ශාස්ත්‍රය."
"අංග වෛද්‍යයා","[නා.] ශාරීරික ආබාධවලට වෙදකම් කරන තැනැත්තා; සර්වාංග වෛද්‍යවරයා; කාය චිකිත්සකයා."
"අංග සම","(පාරිභා.) [වි.] හැම අතින් ම සමාන වූ (= congruent)."
"අංග සාදය","[නා.] ඇඟෙහි වෙහෙස; ශරීර අවයවවල විඩාව."
"අංග සාම්‍යය","(පාරිභා.) [නා.] අංග සමබව; සියලු අතින් සම වීම (= congruency)."
"අංග සූත්‍රය","[නා.] ප්‍රධාන සූත්‍රය; ව්‍යාකරණ ශාස්ත්‍රයෙහි ප්‍රධාන රීතිය."
"අංග සූලය","[නා.] ශරීරාංගවල හට ගැනෙන තියුණු වේදනාව."
"අංග, අඞ්ග","[නා.ප්‍ර.] අංගය, අඞ්ගය බ."
අංගකූට,"[නා.ප්‍ර.] හොරට බඩු කිරීම; හොර වෙළඳාම."
අංගජ,"[වි.] ශරීරයෙන් උපන්.<br>
1. [නා.ප්‍ර.] ලේ.<br>
2. [නා.ප්‍ර.] හිසකේ.<br>
3. [නා.ප්‍ර.] පුත්‍රයා."
අංගජාතය,"[නා.] ස්ත්‍රී/පුරුෂ නිමිත්ත; ලිංගය; රහසඟ."
අංගණය,"1. [නා.] මිදුල; මළුව; එළිමහන් බිම.<br>
2. (පාරිභා.) [නා.] ලයිකනයක මතුපිට රේඛාවලින් හෝ බිඳුමකින් හෝ සීමා වී තිබෙන කුඩා ඉඩ ප්‍රමාණය (=arcola).<br>
3. [නා.] කිලුට; කැළල.<br>
4. [නා.] පාපධර්මය."
"අංගතිලක, අඞ්ගතිලක","[නා.ප්‍ර.] සිවුසැට ආභරණ අතරින් එක් ආභරණයක්."
අංගදාභරණය,"[නා.] ඉහළ බාහුවේ පලඳිනු ලබන ආභරණය; අඟුපලඳනාව; කේයුරය."
අංගදාහය,"[නා.] ඇඟ දෑවිල්ල ඇති කරන රෝගාබාධයක්."
"අංගනාව, අඞ්ගනාව","[නා.] ස්ත්‍රිය; කාන්තාව."
අංගපුලාව,"1. (කථා.) [නා.] යහපත් පැවැත්ම.<br>
2. [නා.] මනා හැඩහුරුකම."
අංගම,"1. [නා.] මතුරා පිඹින නපුරු මන්ත්‍ර විශේෂයක්.<br>
2. [නා.] දේවපූජා සඳහා පවත්වන නැටුම් විශේෂයක්."
"අංගම් පොරය","1. [නා.] දෙදෙනකු අතරේ කරන කඩු හරඹය; ද්වන්ද්ව යුද්ධය.<br>
2. [නා.] මල්ලවපොර වැනි ක්‍රීඩා විශේෂයක්."
